LANGUAGE,"Czech","Polish"

COMMENT,"Datum a Ëas","Data i godzina"
STR_SUNDAY,"Ne","Nie"
STR_MONDAY,"Po","Pon"
STR_TUESDAY,"⁄t","Wt"
STR_WEDNESDAY,"St","år"
STR_THURSDAY,"»t","Czw"
STR_FRIDAY,"P·","Pt"
STR_SATURDAY,"So","Sob"

STR_JANUARY,"I","Sty"
STR_FEBRUARY,"II","Lut"
STR_MARCH,"III","Mar"
STR_APRIL,"IV","Kwi"
STR_MAY,"V","Maj"
STR_JUNE,"VI","Cze"
STR_JULY,"VII","Lip"
STR_AUGUST,"VIII","Sie"
STR_SEPTEMBER,"IX","Wrz"
STR_OCTOBER,"X","Paü"
STR_NOVEMBER,"XI","Lis"
STR_DECEMBER,"XII","Gru"

STR_DATE_FORMAT,"%a, %d. %b.","%a, %b %d"
STR_DATE_FORMAT_SHORT,"%d. %b.","%b %d"
STR_TIME_FORMAT,"% 2d:%02d","% 2d:%02d"
STR_MAP_INFO_OLD,"St·¯Ì infce: % 2d:%02d","Wiek: % 2d:%02d"

STR_RESOLUTION_FORMAT,"%d x %d x %d","%d x %d x %d"
STR_REFRESH_RATE_FORMAT,"%d Hz","%d Hz"
STR_WINDOWED,"V oknÏ","W oknie"

COMMENT,"Strany","Strony"
STR_WEST,"Z·pad","ZachÛd"
STR_EAST,"V˝chod","WschÛd"
STR_GUERRILA,"Partyz·ni","Partyzanci"
STR_CIVILIAN,"CivilistÈ","Cywile"
STR_LOGIC,"Imagin·rnÌ jednotka","Element logiczny"
STR_EMPTY,"Pr·zdn·","Pusty"
STR_NOBODY,"Nikdo","Nikt"

COMMENT,"Hodnosti","Stopnie"
STR_PRIVATE,"VojÌn","Szeregowy"
STR_CORPORAL,"Des·tnÌk","Kapral"
STR_SERGEANT,"Serûant","Sierøant"
STR_LIEUTNANT,"PoruËÌk","Porucznik"
STR_CAPTAIN,"Kapit·n","Kapitan"
STR_MAJOR,"Major","Major"
STR_COLONEL,"PlukovnÌk","Pu≥kownik"
STR_GENERAL,"Gener·l","Genera≥"

STR_SHORT_PRIVATE,"Voj","szer"
STR_SHORT_CORPORAL,"Des","kpr"
STR_SHORT_SERGEANT,"Srû","sierø"
STR_SHORT_LIEUTNANT,"Por","por"
STR_SHORT_CAPTAIN,"Kap","kpt"
STR_SHORT_MAJOR,"Maj","mjr"
STR_SHORT_COLONEL,"Plk","p≥k"
STR_SHORT_GENERAL,"Gen","gen"

COMMENT,"Reûimy a formace","Postawy i szyki"
STR_IGNORE,"Nikdy nest¯Ìlet","Nigdy nie strzelaÊ"
