LANGUAGE,"English","Czech","German","Polish","Russian","French","Spanish","Italian"


STR_SUNDAY,"Sun","Ne","So","Nd","Воскресенье","Dim","Dom","Dom"
STR_MONDAY,"Mon","Po","Mo","Pon","Понедельник","Lun","Lun","Lun"
STR_TUESDAY,"Tue","Út","Di","Wt","Вторник","Mar","Mar","Mar"
STR_WEDNESDAY,"Wed","St","Mi","Śr","Среда","Mer","Miér","Mer"
STR_THURSDAY,"Thu","Čt","Do","Czw","Четверг","Jeu","Jue","Gio"
STR_FRIDAY,"Fri","Pá","Fr","Pt","Пятница","Ven","Vier","Ven"
STR_SATURDAY,"Sat","So","Sa","Sob","Суббота","Sam","Sáb","Sab"
STR_JANUARY,"Jan","I","Jan","Sty","янв.","Jan","Ene","Gen"
STR_FEBRUARY,"Feb","II","Feb","Lut","февраля","Fév","Feb","Feb"
STR_MARCH,"Mar","III","Mär","Mar","март.","Mar","Mar","Mar"
STR_APRIL,"Apr","IV","Apr","Kw","апр.","Avr","Abr","Apr"
STR_MAY,"May","V","Mai","Maj","мая","Mai","May","Mag"
STR_JUNE,"Jun","VI","Jun","Cze","июня","Juin","Jun","Giu"
STR_JULY,"Jul","VII","Jul","Lip","июля","Jul","Jul","Lug"
STR_AUGUST,"Aug","VIII","Aug","Sie","август.","Aoû","Ago","Ago"
STR_SEPTEMBER,"Sep","IX","Sep","Wrz","сент.","Sep","Sep","Set"
STR_OCTOBER,"Oct","X","Okt","Paź","окт.","Oct","Oct","Ott"
STR_NOVEMBER,"Nov","XI","Nov","List","нояб.","Nov","Nov","Nov"
STR_DECEMBER,"Dec","XII","Dez","Gru","дек.","Déc","Dic","Dic"
STR_DATE_FORMAT,"%a, %b %d","%a, %b %d","%a, %d. %b","%a, %b %d","%a, %d %b","%a, %d %b","%a, %b %d","%a, %b %d"
STR_DATE_FORMAT_SHORT,"%b %d","%b %d","%d. %b","%b %d","%b %d","%d %b","%b %d","%b %d"
STR_TIME_FORMAT,"%H:%M","%H:%M","%H.%M","%H:%M","%H:%M","%H:%M","%H:%M","%H:%M"
STR_INTEL_DATE_FORMAT,"%m/%d/%Y","%m/%d/%Y","%d. %m %Y","%m/%d/%Y","%d/%m/%Y","%d/%m/%Y","%d/%m/%Y","%d/%m/%Y"
STR_INTEL_TIME_FORMAT,"%H:%M:%S","%H:%M:%S","%H:%M:%S","%H:%M:%S","%H:%M:%S","%H:%M:%S","%H:%M:%S","%H:%M:%S"
STR_MAP_INFO_OLD,"Info age: % 2d:%02d","Stáří informací: % 2d:%02d","Info-Alter: % 2d:%02d","Czas informacji: % 2d:%02d","Давность сведений: % 2d:%02d","Âge info. : % 2d:%02d","Info edad: % 2d:%02d","Info età: % 2d:%02d"
STR_RESOLUTION_FORMAT,"%d×%d×%d","%d×%d×%d","%d x %d x %d","%d x %d x %d","%dx%dx%d","%d x %d x %d","%d×%d×%d","%d x %d x %d"
STR_REFRESH_RATE_FORMAT,"%d Hz","%d Hz","%d Hz","%d Hz","%d Гц","%d Hz","%d Hz","%d Hz"
STR_WINDOWED,"Windowed","V okně","Fenstermodus","W oknie","Оконный","Fenêtré","Con ventanas","In finestra"
