COMMENT,"English","Czech","German","Polish","Russian","French","Spanish","Italian"


STR_SENT_UNIT_KILLED_1,"%1.1 IS DOWN!","%1.1 TO KOUPIL","%1.1 IST TOT","%1.1 DOSTAŁ!","%1.1 погиб!","%1.1 EST À TERRE !","¡%1.1 HA CAÍDO!","%1.1 A TERRA!"
STR_SENT_UNIT_KILLED_2,"DAMN %1.1 IS DOWN!","DO HAJZLU, %1.1 TO MÁ ZA SEBOU!","VERDAMMT, %1.1 IST TOT!","CHOLERA %1.1 DOSTAŁ!","Черт! %1.1 погиб!","BON SANG, %1.1 EST À TERRE !","¡MALDITA SEA, %1.1 HA CAÍDO!","%1.1 È A TERRA!"
STR_SENT_UNIT_KILLED_3,"OH NO.... %1.1... IS DOWN!","SAKRA.... %1.1... JE TUHEJ!","OH NEIN.... %1.1... IST TOT!","OCH, NIE.... %1.1... DOSTAŁ!","О, нет! %1.1 погиб!","OH NON... %1.1... EST À TERRE !","¡OH, NO, %1.1 HA CAÍDO!","OH NO... %1.1... È A TERRA!"
STR_SENT_SUPPORT_ASK_HEAL_1,"MEDIC! POSITION %1","ZDRAVOTNÍK! POZICE %1","SANITÄTER! POSITION %1","SANITARIUSZ! POZYCJA %1","Врача! Зона %1!","INFIRMIER ! POSITION %1","¡PARAMÉDICO! POSICIÓN %1","UN DOTTORE! POSIZIONE %1"
STR_SENT_SUPPORT_ASK_REPAIR_1,"I NEED REPAIRS AT POSITION %1","POTŘEBUJEME OPRAVIT, POZICE %1","BENÖTIGE REPARATUREN! POSITION %1","POTRZEBUJĘ NAPRAW NA POZYCJI %1","%1, требуется ремонт.","BESOIN DE RÉPARATIONS SUR POSITION %1","NECESITO REPARACIONES EN POSICIÓN %1","MI SERVE UNA RIPARAZIONE IN POSIZIONE %1"
STR_SENT_SUPPORT_ASK_REFUEL_1,"I NEED FUEL AT POSITION %1","POTŘEBUJEME PALIVO, POZICE %1","BENÖTIGE TREIBSTOFF! POSITION %1","POTRZEBUJĘ PALIWA NA POZYCJI %1","%1, требуется дозаправка.","BESOIN DE CARBURANT SUR POSITION %1","NECESITO COMBUSTIBLE EN POSICIÓN %1","MI SERVE CARBURANTE IN POSIZIONE %1"
STR_SENT_SUPPORT_ASK_REARM_1,"I NEED AMMO AT POSITION %1","POTŘEBUJEME MUNICI, POZICE %1","BENÖTIGE MUNITION! POSITION %1","POTRZEBUJĘ AMUNICJI NA POZYCJI %1","%1, требуются боеприпасы.","BESOIN DE MUNITIONS SUR POSITION %1","NECESITO MUNICIÓN EN POSICIÓN %1","MI SERVONO MUNIZIONI IN POSIZIONE %1"
STR_SENT_SUPPORT_CONFIRM_1,"%1, SUPPORTING. POSITION %2","%1, JEDEM K VÁM. POZICE %2","%1, UNTERSTÜTZE! POSITION %2","%1, WSPIERA. POZYCJA %2","%1, поддержка. Позиция: %2","%1, EN SOUTIEN. POSITION %2","% 1, APOYO. POSICIÓN %2","%1, IN SUPPORTO. POSIZIONE %2"
