COMMENT,"English","Czech","German","Polish","Russian","French","Spanish","Italian"


STR_OPEN_FIRE,"Open fire","Střílet","Feuer eröffnen","Otworzyć ogień","Открыть огонь","Ouvrir le feu","Abrir fuego","Aprire il fuoco"
STR_HOLD_FIRE,"Hold fire","Nestřílet","Feuerpause","Wstrzymać ogień","Прекратить огонь","Ne pas tirer","No disparar","Non sparare"
STR_STEALTH,"Stealth","Plížit","Tarnung","Skradanie","Затаиться","Discrétion","Sigilo","Di nascosto"
STR_COMBAT,"Danger","Nebezpečí","Gefahr","Niebezpieczeństwo","Опасность","Danger","Peligro","Pericolo"
STR_AWARE,"Aware","Pozor","Wachsam","Uwaga","Начеку","Conscient","Consciente","Attenzione"
STR_SAFE,"Safe","Zabezpečeno","Sicher","Bezpiecznie","Безопасно","Sûr","Seguro","Al riparo"
STR_COMBAT_MODE,"Combat Mode","Bojový režim","Kampfmodus","Tryb walki","Режим боя","Mode de combat","Modo de combate","Mod. combatt."
STR_POS_UP,"Stand Up","Vstát","Aufstehen","Wstać","Подъем","Debout","En pie","Alzarsi"
STR_POS_DOWN,"Go prone","Zalehnout","Hinlegen","Na ziemię","Залечь","S'allonger","Tumbado","A terra"
STR_POS_AUTO,"Keep low","Držet se při zemi","Ducken","Głowy nisko","Пригнуться","Rester bas","Al suelo","Stare bassi"
STR_POS_CROUCH,"Stay crouched","Přikrčit","Geduckt bleiben","Trzymać się nisko","Сидя","Rester accroupi","Agachado","Stare accucciati"
STR_DISENGAGE,"Disengage","Odloučit","Zurückziehen","Wycofać się","Отступить","Décrocher","Retirada","Disingaggio"
STR_ENGAGE_AT_WILL,"Engage at will","Útočit dle libosti","Eigenständ. Angriff","Atak bez rozkazu","В бой по желанию","Feu à volonté","Fuego a discreción","Fuoco a volontà"
STR_ENGAGE_NOW,"Engage","Zaútočit","Angreifen","Atakować","Режим боя","Engager","Ataque","Ingaggiare"
STR_WATCH_AROUND,"Watch Around","Sledovat okolí","Gegend überwachen","Rozglądać się","Оглядеться","Regarder alentour","Mira alrededor","Guardarsi attorno"
STR_ADVANCE,"Advance","Postoupit","Vorrücken","Naprzód","Вперед","Avancer","Avanza","Avanzare"
STR_STAY_BACK,"Stay Back","Ustoupit","Zurückbleiben","Nie zbliżać się","Держаться в стороне","Rester sur place","No avances","Stare indietro"
STR_FLANK_LEFT,"Flank Left","Zaútočit zleva","Von links flankieren","Oskrzydlać z lewej","Держаться левее","Contourner à gauche","Flanco izquierdo","Affiancare a sinistra"
STR_FLANK_RIGHT,"Flank Right","Zaútočit zprava","Von rechts flankieren","Oskrzydlać z prawej","Держаться правее","Contourner à droite","Flanco derecho","Affiancare a destra"
STR_NEXT_WAYPOINT,"Next waypoint","Další bod trasy","Nächster Wegpunkt","Następny punkt nawigacyjny","Следующая контрольная точка","Point passage suiv.","Punto referencia siguiente","Prox punto pass."
STR_CEASE_FIRE,"Cease Fire","Zastavit palbu","Feuer einstellen","Wstrzymać ogień","Отставить огонь","Halte au feu","Alto el fuego","Cessare il fuoco"
STR_RADIO_CUSTOM,"Custom","Vlastní","Benutzerdefiniert","Osobiste","Настройк.","Personnalisé","Personalizar","Personalizzato"
STR_UI_HBAR,"Health","Zdraví","Gesundheit","Zdrowie","Здоровье","Santé","Salud","Salute"
